vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Salé,2010.0,Manuelle,Essence,200000.0,BMW,Série 1,5.0,Dédouanée,Non,11.0,Très bon,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fès,2016.0,Automatique,Diesel,150000.0,Land Rover,Range Rover Evoque,5.0,Dédouanée,Non,8.0,Excellent,280000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2014.0,Automatique,Diesel,130000.0,Alfa Romeo,Giulietta,5.0,WW au Maroc,Non,8.0,Très bon,130000,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1
Tanger,1998.0,Manuelle,Diesel,10000.0,Fiat,Siena,,,,,,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marrakech,2017.0,Automatique,Diesel,140000.0,Mercedes-Benz,Classe C,5.0,Dédouanée,Oui,8.0,Excellent,320000,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2019.0,Manuelle,Essence,15000.0,Dacia,Logan,5.0,WW au Maroc,Non,7.0,Excellent,81000,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Casablanca,2009.0,Manuelle,Essence,150000.0,Hyundai,i10,5.0,WW au Maroc,Non,6.0,Très bon,55000,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
Marrakech,2019.0,Manuelle,Diesel,120000.0,Citroën,C3,5.0,WW au Maroc,Non,6.0,Bon,112000,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
Casablanca,2018.0,Automatique,Diesel,110000.0,Alfa Romeo,Stelvio,5.0,WW au Maroc,Non,6.0,Bon,233000,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Tétouan,2020.0,Automatique,Diesel,95000.0,Mercedes-Benz,Classe A,5.0,Dédouanée,Non,6.0,Excellent,390000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
